#! FIELDS time phi omega psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_omega -pi
#! SET max_omega pi
#! SET min_psi -pi
#! SET max_psi pi
 527.000000 -1.134481 -0.214772 2.857919
 528.000000 -1.118013 -0.024278 2.952501
 529.000000 -1.271073 -0.110751 2.933233
 530.000000 -1.398836 -0.083246 2.641564
 531.000000 -1.205920 -0.289627 3.046328
 532.000000 -1.486618 -0.175633 2.971161
 533.000000 -1.210447 -0.199409 2.969500
 534.000000 -0.796111 -0.678100 -3.118973
 535.000000 -1.080910 -0.198731 2.880589
 536.000000 -0.890790 -0.289045 2.898082
 537.000000 -1.572952 0.022103 3.096211
 538.000000 -1.005166 -0.225627 2.860567
 539.000000 -1.163092 -0.075317 2.693902
 540.000000 -1.395874 -0.051025 2.793607
 541.000000 -1.158806 -0.144421 2.871127
 542.000000 -1.155761 -0.142457 2.863180
 543.000000 -1.560017 -0.111330 2.897182
 544.000000 -1.349888 0.083027 3.066727
 545.000000 -0.991047 -0.532977 2.693741
 546.000000 -1.252211 -0.266255 -3.095930
 547.000000 -1.316417 -0.231839 2.668579
 548.000000 -1.504163 -0.119500 2.855284
 549.000000 -1.356063 0.065339 3.030208
 550.000000 -1.119183 -0.322012 2.759224
 551.000000 -1.196324 -0.223413 2.886556
 552.000000 -1.023406 -0.193364 2.908102
 553.000000 -1.445389 0.212380 3.022346
 554.000000 -1.984156 0.603115 -3.054981
 555.000000 -1.450751 -0.205122 -2.965469
 556.000000 -2.071350 0.644496 -2.686919
 557.000000 -1.087408 -0.090546 2.966815
 558.000000 -1.333578 -0.104551 -3.084268
 559.000000 -0.961340 -0.592891 2.853598
 560.000000 -1.122685 -0.284252 2.995345
 561.000000 -1.409335 0.033259 3.026546
 562.000000 -1.473030 0.058803 3.074177
 563.000000 -1.135812 -0.578206 -3.080044
 564.000000 -1.339327 -0.233873 3.054712
 565.000000 -1.258828 -0.063580 2.836904
 566.000000 -1.114020 -0.152081 2.976035
 567.000000 -1.299354 -0.237893 3.043442
 568.000000 -0.993179 -0.375391 2.888979
 569.000000 -1.059845 -0.269271 2.687775
 570.000000 -1.245182 -0.049015 2.951615
 571.000000 -1.458154 -0.175648 -3.108957
 572.000000 -1.289382 -0.082242 2.994913
 573.000000 -1.054682 -0.358535 3.082521
 574.000000 -1.063760 -0.390880 2.880134
 575.000000 -1.643159 0.199947 -3.049004
 576.000000 -1.380362 0.026609 2.961812
 577.000000 -1.455166 -0.087838 2.835814
 578.000000 -1.169266 -0.179106 2.857513
 579.000000 -1.179754 -0.210660 2.952602
 580.000000 -1.208444 -0.081178 2.940586
 581.000000 -0.919715 -0.424490 2.960334
 582.000000 -1.036228 -0.152308 2.903673
 583.000000 -1.252219 -0.209528 2.847945
 584.000000 -0.774397 -0.415021 2.903454
 585.000000 -0.901949 -0.541527 3.077860
 586.000000 -1.306993 0.017192 3.055013
 587.000000 -1.203418 -0.201948 2.981283
 588.000000 -0.902683 -0.305009 2.827892
